"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/07/2016","795","725","860","710","2,06B","9,66%"
"01/06/2016","725","650","780","640","2,52B","11,54%"
"01/05/2016","650","770","780","625","1,70B","-14,47%"
"01/04/2016","760","463","775","458","4,13B","63,79%"
"01/03/2016","464","366","481","360","2,97B","27,47%"
"01/02/2016","364","334","375","328","2,20B","10,64%"
"01/01/2016","329","315","335","292","2,39B","4,78%"
"01/12/2015","314","317","337","285","1,34B","-0,32%"
"01/11/2015","315","373","380","306","4,20B","-16,67%"
"01/10/2015","378","412","454","372","4,00B","-7,41%"
"01/09/2015","408","418","454","391","489,67M","-2,80%"
"01/08/2015","420","403","550","378","843,62M","5,26%"
"01/07/2015","399","571","575","399","142,75M","-30,15%"
"01/06/2015","571","651","655","567","121,31M","-10,53%"
"01/05/2015","638","668","706","638","156,33M","-4,40%"
"01/04/2015","668","722","777","664","133,84M","-8,09%"
"01/03/2015","727","844","857","714","190,89M","-13,93%"
"01/02/2015","844","890","907","832","231,55M","-5,63%"
"01/01/2015","895","895","953","853","422,58M","0,00%"
"01/12/2014","895","815","941","794","370,74M","8,67%"
"01/11/2014","823","811","848","773","289,68M","1,03%"
